Epoch 1/100, Train Loss: 0.5199, Test Loss: 0.3745, Train Accuracy: 0.7454, Train Precision: 0.7350, Train Recall: 0.7524, Train F1 Score: 0.7436, Train AUC-ROC: 0.8287, Test Accuracy: 0.8607, Test Precision: 0.8225, Test Recall: 0.9026, Test F1 Score: 0.8607, Test AUC-ROC: 0.9231
Epoch 37/100, Train Loss: 0.2059, Test Loss: 0.2279, Train Accuracy: 0.9292, Train Precision: 0.9268, Train Recall: 0.9318, Train F1 Score: 0.9293, Train AUC-ROC: 0.9736, Test Accuracy: 0.9381, Test Precision: 0.9349, Test Recall: 0.9461, Test F1 Score: 0.9405, Test AUC-ROC: 0.9652

Epoch 38/100, Train Loss: 0.2160, Test Loss: 0.2719, Train Accuracy: 0.9303, Train Precision: 0.9353, Train Recall: 0.9267, Train F1 Score: 0.9310, Train AUC-ROC: 0.9705, Test Accuracy: 0.9102, Test Precision: 0.8639, Test Recall: 0.9605, Test F1 Score: 0.9097, Test AUC-ROC: 0.9653

Epoch 39/100, Train Loss: 0.2122, Test Loss: 0.2336, Train Accuracy: 0.9303, Train Precision: 0.9307, Train Recall: 0.9307, Train F1 Score: 0.9307, Train AUC-ROC: 0.9719, Test Accuracy: 0.9350, Test Precision: 0.9231, Test Recall: 0.9512, Test F1 Score: 0.9369, Test AUC-ROC: 0.9673

Epoch 40/100, Train Loss: 0.2038, Test Loss: 0.2513, Train Accuracy: 0.9330, Train Precision: 0.9314, Train Recall: 0.9350, Train F1 Score: 0.9332, Train AUC-ROC: 0.9738, Test Accuracy: 0.9257, Test Precision: 0.8935, Test Recall: 0.9618, Test F1 Score: 0.9264, Test AUC-ROC: 0.9648

Epoch 41/100, Train Loss: 0.2075, Test Loss: 0.2559, Train Accuracy: 0.9300, Train Precision: 0.9330, Train Recall: 0.9280, Train F1 Score: 0.9305, Train AUC-ROC: 0.9727, Test Accuracy: 0.9288, Test Precision: 0.8935, Test Recall: 0.9679, Test F1 Score: 0.9292, Test AUC-ROC: 0.9652

Epoch 42/100, Train Loss: 0.2007, Test Loss: 0.2363, Train Accuracy: 0.9358, Train Precision: 0.9399, Train Recall: 0.9327, Train F1 Score: 0.9363, Train AUC-ROC: 0.9744, Test Accuracy: 0.9257, Test Precision: 0.8994, Test Recall: 0.9560, Test F1 Score: 0.9268, Test AUC-ROC: 0.9664

